Segnala il PFS mancante!!::::00
TOH_1/07w42::Via Antonio Sciesa, Venaria Reale [45.13044657, 7.62378014]
TOH_1/07w43::Via Giovanni Prati, Venaria Reale [45.13204669, 7.62445241]
TOH_1/08e11::Via Giovanni Destefanis 25f, Torino [45.11702961463416, 7.652298168889879]
TOH_1/08e12::Via Alberino Mantovani, Venaria Reale [45.11930726865112, 7.650675139396736]
TOH_1/08e13::Via Natale Sandre 22, Venaria Reale [45.12074169894546, 7.651566165367638]
TOH_1/08e14::Via Alvaro Chelli, Venaria Reale [45.12228412574112, 7.651359046745668]
TOH_1/08e21::Via Gaetano Amati, Venaria Reale [45.120564603928976, 7.649024271031533]
TOH_1/08e22::Via Gaetano Amati, Venaria Reale [45.119922464013634, 7.6486664880641575]
TOH_1/08e23::Via Gaetano Amati, Venaria Reale [45.12182420449584, 7.646592565081363]
TOH_1/08e24::Via Giuseppe Di Vittorio, Venaria Reale [45.12438159741793, 7.644678168403398]
TOH_1/08e31::Via Giuseppe Saragat, Venaria Reale [45.12366069, 7.64814113]
TOH_1/08e32::Via Bassi, Venaria Reale [45.12498523, 7.64836882]
TOH_1/08e33::Via Giuseppe Di Vittorio, Venaria Reale [45.12514421, 7.64702149]
TOH_1/08e34::Via Bruno Buozzi, Venaria Reale [45.12577838, 7.64254649]
TOH_1/08e41::Via San Marchese, Venaria Reale [45.12693357, 7.64420799]
TOH_1/08e42::Via Pietro Motrassino, Venaria Reale [45.12703633, 7.63955674]
TOH_1/08e43::Via Aldo Canale, Venaria Reale [45.12883009, 7.63836233]
TOH_1/08e44::Via San Marchese 3, Venaria Reale [45.12809095, 7.64123808]
TOH_1/08w11::Via Giovanni Boccaccio 65, Venaria Reale [45.11922007, 7.62413760]
TOH_1/08w12::Corso Niccolò Machiavelli, Venaria Reale [45.11982421, 7.62728904]
TOH_1/08w13::Corso Niccolò Machiavelli, Venaria Reale [45.11959262, 7.63193655]
TOH_1/08w14::Via Niccolò Paganini, Venaria Reale [45.11829226, 7.62926022]
TOH_1/08w21::Via Cervi, Venaria Reale [45.12100642, 7.62834387]
TOH_1/08w22::Via Gaetano Salvemini, Venaria Reale [45.12327090, 7.62691701]
TOH_1/08w23::Via Gaetano Salvemini, Venaria Reale [45.12451105, 7.62789647]
TOH_1/08w24::Via Giacosa, Venaria Reale [45.12415217, 7.62896073]
TOH_1/08w31::Via Leonardo da Vinci, Venaria Reale [45.12488528, 7.63044182]
TOH_1/08w32::Via Giosuè Carducci, Venaria Reale [45.12374090, 7.63316506]
TOH_1/08w33::Via Dante Alighieri, Venaria Reale [45.12286431, 7.63485753]
TOH_1/08w34::Via Alessandro Manzoni, Venaria Reale [45.12078805, 7.63639131]
TOH_1/08w41::Corso Giacomo Matteotti, Venaria Reale [45.12822483, 7.62796529]
TOH_1/08w42::Altessano, Venaria Reale [45.12820628, 7.62910534]
TOH_1/08w43::Corso Papa Giovanni Ventitreesimo, Venaria Reale [45.12759687, 7.63004493]
TOH_1/08w44::Via Filippo Juvarra, Venaria Reale [45.12663843, 7.63023784]
TOH_1/09e11::Via Giovanni Verga, Grugliasco [45.06317203351232, 7.605929977206774]
TOH_1/09e12::Via Giovanni Verga, Grugliasco [45.06279698946905, 7.607753577770614]
TOH_1/09e13::Via Dante Alighieri, Grugliasco [45.057624622807204, 7.607944605934502]
TOH_1/09e21::Via Somalia 2, Grugliasco [45.05699579981771, 7.622067126231111]
TOH_1/09e22::Via Tripoli 30, Grugliasco [45.056638538465585, 7.62287130082197]
TOH_1/09e23::Via Somalia, Grugliasco [45.056322042291264, 7.6245652046199135]
TOH_1/09e24::Via Achille Grandi 20, Grugliasco [45.05298333562536, 7.618117642689533]
TOH_1/09e31::Via Crea, Grugliasco [45.04526520779243, 7.615996384011544]
TOH_1/09e32::Via Don Luigi Borio, Grugliasco [45.04574210381782, 7.61873502128479]
TOH_1/09e33::Via Moncalieri, Grugliasco [45.04483228235843, 7.616119310053342]
TOH_1/09e41::Via Paolo Gaidano 179 int. 5/B, Grugliasco [45.043466534615106, 7.618227432794296]
TOH_1/09e42::Via Paolo Gaidano 179 int. 23, Grugliasco [45.04251869183737, 7.617868393062524]
TOH_1/09e43::Via Paolo Gaidano, Grugliasco [45.04167181877088, 7.617036663300314]
TOH_1/09w11::Via Bionaz 5b, Torino [45.064140869140594, 7.6214226780852]
TOH_1/09w12::Via Monginevro 240b, Torino [45.06465845681715, 7.620700401679475]
TOH_1/09w13::Via La Thuile 12a, Torino [45.06374363622991, 7.621885871005316]
TOH_1/09w14::Via Villa Giusti 17a, Torino [45.06275216593322, 7.623002968239966]
TOH_1/09w21::Via Santa Maria Mazzarello 96d, Torino [45.05854646428997, 7.627739190241155]
TOH_1/09w22::Strada Antica di Grugliasco 304a, Torino [45.05954444139622, 7.625238128574943]
TOH_1/09w23::Strada Antica di Grugliasco 281b, Torino [45.05943622540202, 7.6219975410393515]
TOH_1/09w31::Via Challant 2, Torino [45.06095073024538, 7.6205608415083494]
TOH_1/09w32::Via Villa Giusti 50h, Torino [45.06065710076409, 7.622133681981444]
TOH_1/09w33::Via Santa Maria Mazzarello 30 int. 23, Torino [45.06201758497977, 7.622617455701932]
TOH_1/09w34::Via Valsugana 19f, Torino [45.061156388639525, 7.622994804752761]
TOH_1/10e11::Corso Francia 223, Rivoli [45.07200960, 7.55407188]
TOH_1/10e12::Corso Francia 230, Rivoli [45.07165779, 7.55488185]
TOH_1/10e13::Via Cuorgnè, Rivoli [45.07087025, 7.55453928]
TOH_1/10e14::Via Pavia 26, Rivoli [45.07017755, 7.55217689]
TOH_1/10e21::Cascine Vica, Rivoli [45.07173318, 7.55001384]
TOH_1/10e22::Corso Francia, Rivoli [45.07151239, 7.55143746]
TOH_1/10e23::Via Stura, Rivoli [45.06967912, 7.54826361]
TOH_1/10e24::Corso Francia, Rivoli [45.07120129, 7.54470626]
TOH_1/10e31::Via Omegna, Rivoli [45.06926724, 7.54394869]
TOH_1/10e32::Via Ticino, Rivoli [45.06892766, 7.54324232]
TOH_1/10e33::Via Ticino, Rivoli [45.06925308, 7.54176186]
TOH_1/10e34::Corso Francia, Rivoli [45.07103451, 7.54071084]
TOH_1/10e41::Via Fratelli Macario, Rivoli [45.06893317, 7.53864613]
TOH_1/10e42::Via Adda, Rivoli [45.06722543, 7.54040589]
TOH_1/10e43::Via Adda, Rivoli [45.06693774, 7.54163824]
TOH_1/10w11::Via Villarbasse, Rivoli [45.06234117, 7.51618889]
TOH_1/10w12::Via Ischia 10, Rivoli [45.06360885, 7.52025772]
TOH_1/10w13::Strada Nuova Tetti 36, Rivoli [45.06330879, 7.52406988]
TOH_1/10w14::Viale Colli, Rivoli [45.06151383, 7.52238884]
TOH_1/10w21::Via Viotti, Rivoli [45.06660621, 7.51066004]
TOH_1/10w22::Via Generale Chiaperotti, Rivoli [45.06437957, 7.51226132]
TOH_1/10w23::Viale Papa Giovanni Ventitreesimo 25, Rivoli [45.06571642958658, 7.503069645901075]
TOH_1/10w24::Via Alfieri, Rivoli [45.06402718, 7.51665077]
TOH_1/10w31::Via Balegno, Rivoli [45.06848547, 7.51496991]
TOH_1/10w32::Via Pullino 36, Rivoli [45.06629857, 7.51557987]
TOH_1/10w33::Via Pullino 22, Rivoli [45.06648009, 7.51448519]
TOH_1/10w41::Via Benvenuto Cellini 19, Rivoli [45.067350488695105, 7.521437661536528]
TOH_1/10w42::Via Alba 9, Rivoli [45.066018165012096, 7.522253370581544]
TOH_1/10w43::Corso Venticinque Aprile 51, Rivoli [45.06554036, 7.52035663]
TOH_1/10w44::Corso Venticinque Aprile 66a, Rivoli [45.06576785, 7.52012038]
TOH_1/11e11::Via Orbetello 4, Rivoli [45.07164528, 7.54371103]
TOH_1/11e12::Via Orbetello 4, Rivoli [45.07178891, 7.54369669]
TOH_1/11e13::Via Po 32, Rivoli [45.07275005, 7.54403381]
TOH_1/11e14::Via Po 37, Rivoli [45.07255722, 7.54485368]
TOH_1/11e21::Via Assisi 12, Rivoli [45.07221475, 7.53450250]
TOH_1/11e22::Via Crimea, Rivoli [45.07264368, 7.53533894]
TOH_1/11e23::Via Dario Micca, Rivoli [45.07272914, 7.53646796]
TOH_1/11e31::Via Pietro Auriletto 7, Rivoli [45.07473958, 7.52069061]
